,第0-3个时间片,第1-4个时间片,第2-5个时间片,第3-6个时间片,第4-7个时间片,第5-8个时间片,第6-9个时间片,mean_MAP
T+0,0.6479527939321553,0.4920115277392045,0.5170310861409037,0.5388051921780287,0.5510484552298396,0.6844845179989762,0.749812372676134,0.5973065636993203
T+1,0.5153191609332726,0.4308533315974595,0.46210152309110636,0.5324714105555873,0.6456288488406727,0.6352976032404313,0.6565486773696954,0.5540315079468893
T+2,0.44347832369871854,0.35332176474131316,0.4589908255262508,0.5997876185987626,0.610457735710996,0.600830284684836,0.5546692190507554,0.5173622531445189
