,第0-3个时间片,第1-4个时间片,第2-5个时间片,第3-6个时间片,第4-7个时间片,第5-8个时间片,第6-9个时间片,mean_MAP
T+0,0.6250071058040017,0.49846857379283066,0.5290453715965798,0.5264528588507079,0.5551452484903959,0.6914408957260976,0.756395584581411,0.5974222341202893
T+1,0.504527627569875,0.4409602791928318,0.4559449694678904,0.5230515862709345,0.6444288600792486,0.6346771236486274,0.6788873312278808,0.5546396824938984
T+2,0.4406692855349654,0.34685929329938975,0.44219683724903536,0.602316641165107,0.618936135197167,0.6010131739087624,0.5495600496350158,0.514507345141349
