,第0-3个时间片,第1-4个时间片,第2-5个时间片,第3-6个时间片,第4-7个时间片,第5-8个时间片,第6-9个时间片,mean_MAP
T+0,0.6381941107731051,0.4921369142565699,0.5155051063354635,0.5422814985695279,0.5790304233451088,0.6906498007562671,0.7604587382373368,0.6026080846104828
T+1,0.4924074001556581,0.4307922979797979,0.45660471234379957,0.5263236596159592,0.6571251467698093,0.6326349712946139,0.6671878131246903,0.5518680001834755
T+2,0.42315613275787156,0.3627332301593117,0.45435179030371353,0.6167162598257447,0.6227591322412671,0.6033956425429411,0.5631696990325311,0.5208974124090544
