,第0-4个时间片,第1-5个时间片,第2-6个时间片,第3-7个时间片,第4-8个时间片,mean_MAP
T+0,0.4888282422322758,0.4768708897071028,0.4973388011797074,0.5107755999307664,0.6696279395003669,0.5286882945100438
T+1,0.446969119644017,0.4018235341089891,0.46510032130634726,0.5917187299009263,0.6186530009084734,0.5048529411737507
T+2,0.3753400818224415,0.4282404428722675,0.5344773613337354,0.5422841698787014,0.5722472963799469,0.4905178704574185
T+3,0.3638824062482375,0.45939122672542587,0.5337323315092398,0.5120175051276866,0.5123720092490802,0.476279095771934
