,第0-3个时间片,第1-4个时间片,第2-5个时间片,第3-6个时间片,第4-7个时间片,第5-8个时间片,第6-9个时间片,mean_MAP
T+0,0.6455109781369797,0.49522960485523093,0.5125180097692067,0.5146942757266663,0.517717081754145,0.6439062877548616,0.7154224674365727,0.5778569579190947
T+1,0.4985812046121057,0.41644519339551966,0.4233252709353944,0.48497824050885024,0.6253599349417497,0.6036285372130947,0.6337247015599597,0.526577583309525
T+2,0.42784895505531717,0.3303414850274734,0.41295589402836663,0.5612386218017559,0.5383359111333524,0.5722419479312827,0.5508729143796498,0.48483367562245683
