,第0-3个时间片,第1-4个时间片,第2-5个时间片,第3-6个时间片,第4-7个时间片,第5-8个时间片,第6-9个时间片,mean_MAP
T+0,0.4798222840757624,0.3650537607648929,0.37619258758924057,0.3673930431888918,0.37245293256790557,0.5387855505530905,0.5005500668583075,0.4286071750854416
T+1,0.37688116944278777,0.31782874777740777,0.2891593837128437,0.31054017040623627,0.474319727399577,0.4301845820721512,0.45003962635786543,0.37842191530983843
T+2,0.2985815672709236,0.22393595204638161,0.27184366179427655,0.3869492361101079,0.37848986696307435,0.41268022938722637,0.3871199365927391,0.33708577859496136
