,第0-3个时间片,第1-4个时间片,第2-5个时间片,第3-6个时间片,第4-7个时间片,第5-8个时间片,第6-9个时间片,mean_MAP
T+0,0.4703479438760391,0.37518060505336187,0.37218881559118133,0.36584836747153837,0.39166218430975563,0.5249821281015762,0.5113767466688456,0.4302266844388997
T+1,0.362875302386658,0.3155604041321138,0.29597140511956443,0.3063307393260665,0.4779486292707729,0.42723226304950646,0.45688423446084175,0.3775432825350748
T+2,0.29178431644511854,0.23658563510368072,0.2796532973090678,0.38733480285793515,0.3921054035733759,0.4012699737803982,0.4124871046417473,0.34303150481590333
