,第0-3个时间片,第1-4个时间片,第2-5个时间片,第3-6个时间片,第4-7个时间片,第5-8个时间片,第6-9个时间片,mean_MAP
T+0,0.4765122654830358,0.35523883562439185,0.37555247810650977,0.3716317374886419,0.3758930973519719,0.5370660224955468,0.5034513993746622,0.4279065479892515
T+1,0.3360283549000929,0.32507939255762497,0.29860609964228313,0.3202668100169079,0.460901834725521,0.4189393647326991,0.46617164062476474,0.3751419281714134
T+2,0.28617899258019275,0.23977497426482247,0.2743900580687556,0.40848685172218463,0.38147676670787184,0.40117434604985597,0.394364981332896,0.3408352815323684
