,第0-4个时间片,第1-5个时间片,第2-6个时间片,第3-7个时间片,第4-8个时间片,mean_MAP
T+0,0.36262311235085987,0.3790181066234248,0.40932321900505786,0.3806948167312961,0.5532224144410338,0.4169763338303345
T+1,0.3173990003075985,0.2773833580509826,0.3288566564711096,0.4820942821116187,0.43691448822943224,0.36852955703414836
T+2,0.25162650713759377,0.28272410202910486,0.4236318689324004,0.3948466103328666,0.4293643185518999,0.3564386813967731
T+3,0.23113801989919575,0.35322176322934107,0.36886704532377135,0.40379756784580445,0.35628593694692373,0.3426620666490073
