,第0-4个时间片,第1-5个时间片,第2-6个时间片,第3-7个时间片,第4-8个时间片,mean_MAP
T+0,0.3921808534770571,0.3877937719906949,0.4095004062991526,0.3871786927857727,0.5460814030456524,0.42454702551966594
T+1,0.3329273680117383,0.26608772536797654,0.34174374714305333,0.4792637043142913,0.4408024351072293,0.3721649959888577
T+2,0.2598872562505811,0.2877238615412426,0.4032354647650293,0.40652109723387786,0.4144103688409661,0.3543556097263394
T+3,0.23535073995444875,0.3536654428996266,0.3695718977104886,0.39909116499557484,0.359821375878819,0.3435001242877916
