,第0-3个时间片,第1-4个时间片,第2-5个时间片,第3-6个时间片,第4-7个时间片,第5-8个时间片,第6-9个时间片,mean_MAP
T+0,0.4520872304718822,0.34400222613510484,0.37271692541165263,0.3927776705952708,0.37048678943462715,0.5229883339212873,0.48911365404641033,0.4205961185737479
T+1,0.331519653424296,0.30845643054400235,0.2897999384137637,0.32586814252176644,0.46040106103791056,0.4056478117108113,0.4592598102977189,0.36870754970718134
T+2,0.277648250603612,0.2253983450203721,0.2633012158134929,0.4150254249413151,0.37654662129732436,0.39502825993082463,0.3890912185108615,0.3345770480168289
