,第0-3个时间片,第1-4个时间片,第2-5个时间片,第3-6个时间片,第4-7个时间片,第5-8个时间片,第6-9个时间片,mean_MAP
T+0,0.4592672066940995,0.34619388999040435,0.36983264054058096,0.3864168251578739,0.37771917729526866,0.5220879539541997,0.49211176917608396,0.42194706611550165
T+1,0.32676888514437585,0.2979488338352272,0.28737723786230135,0.31565067670756564,0.46346567905652647,0.40637456828445073,0.45092257120610996,0.3640726360137938
T+2,0.27527204106553343,0.23341766751136347,0.2684400043107165,0.40436031275227147,0.3747736623941926,0.3998155134374017,0.380256149387438,0.3337621929798453
