,第0-4个时间片,第1-5个时间片,第2-6个时间片,第3-7个时间片,第4-8个时间片,mean_MAP
T+0,0.36353755205620475,0.3790001207215972,0.40311842853642466,0.3821758953924303,0.5464545480141639,0.41485730894416417
T+1,0.3122470983109631,0.2804591247909799,0.32583109151300116,0.49368062927526934,0.43370473257627423,0.36918453529329753
T+2,0.24907625657217344,0.2820799432348098,0.4202117781425309,0.3923382119563065,0.42764182470045736,0.35426960292125564
T+3,0.22990986872609157,0.35424804710171226,0.36436492770688894,0.40690020996026666,0.34661375302580255,0.34040736130415244
