,第0-3个时间片,第1-4个时间片,第2-5个时间片,第3-6个时间片,第4-7个时间片,第5-8个时间片,第6-9个时间片,mean_MAP
T+0,0.11310854258533504,0.07307001736418799,0.058812875089375986,0.0792573795096882,0.0884326667751118,0.10098756613838275,0.1258517642603268,0.09136011596034407
T+1,0.10522455197494933,0.08376226207364507,0.060648800483325896,0.08997686130220929,0.11164272344508541,0.12094787765376451,0.11630096128897437,0.0983577197459934
T+2,0.08181870742662918,0.07708874724345653,0.08946043291198934,0.0890208542705655,0.11182657043335732,0.1047607914581614,0.08717699844043371,0.09159330031208471
