,第0-3个时间片,第1-4个时间片,第2-5个时间片,第3-6个时间片,第4-7个时间片,第5-8个时间片,第6-9个时间片,mean_MAP
T+0,0.46888391842895016,0.3493739118623337,0.3727517616529529,0.3778332271966754,0.37159460380105835,0.5393273727056944,0.5034987493473482,0.42618050642785904
T+1,0.3500881570549032,0.3180516805790431,0.2854450390575259,0.31749745019458075,0.4557169998783642,0.43094039747458396,0.45812299837382503,0.37369467465897516
T+2,0.2933214477477681,0.22400797930880995,0.2683359181286797,0.41379413571791696,0.3727553193211476,0.40587381191555616,0.3867386253397015,0.3378324624970829
