,第0-3个时间片,第1-4个时间片,第2-5个时间片,第3-6个时间片,第4-7个时间片,第5-8个时间片,第6-9个时间片,mean_MAP
T+0,0.4677127138736425,0.34496170063442816,0.37291759638940897,0.3857289943227037,0.37882083132871064,0.5281545495656652,0.49377246405552677,0.4245812643100123
T+1,0.3319896254208729,0.30586478607663375,0.287916285018613,0.3187268083929377,0.4602012751413235,0.4037906275292371,0.46092395310615,0.3670590515265382
T+2,0.28553182247891107,0.22953771329177955,0.2652605695421922,0.4128607216927836,0.37218537169171245,0.4002206555293813,0.3871914801831048,0.3361126192014093
