0.1086,0.1013,0.0810,0.0929,0.1226,0.1310,0.1750,0.1644,0.1109,0.1210
0.1078,0.1012,0.0875,0.0904,0.0961,0.1333,0.1295,0.1590,0.2054,0.1227
,0.3556,0.3635,0.3193,0.3228,0.4190,0.4533,0.5150,0.6007,0.4187
,0.2906,0.2851,0.2126,0.2041,0.2311,0.3016,0.3211,0.3461,0.2740
,0.4704,0.4050,0.4602,0.4999,0.4916,0.6606,0.5455,0.5972,0.5163
,0.0560,0.0465,0.0687,0.0741,0.0764,0.0922,0.0874,0.0693,0.0713
,0.2428,0.2624,0.1841,0.1906,0.3082,0.3619,0.3458,0.2716,0.2709
0.1624,0.2048,0.1690,0.1760,0.2453,0.1860,0.1982,0.1935,0.2364,0.1968
0.4614,0.3511,0.3734,0.3814,0.3740,0.5307,0.5022,0.5261,0.4554,0.4395
